City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Trairi,BR,2020-08-25 06:31:41,-3.28,-39.27,77.05,78,100,12.91
101,Bengkulu,ID,2020-08-25 06:31:41,-3.8,102.27,88.36,52,100,10.22
102,Ostrovnoy,RU,2020-08-25 06:31:41,68.05,39.51,60.75,67,84,7.27
103,Acapulco,MX,2020-08-25 06:27:00,16.86,-99.89,77.05,90,100,5.86
104,Hithadhoo,MV,2020-08-25 06:31:41,-0.6,73.08,83.57,68,89,6.4
105,Itapirapua,BR,2020-08-25 06:31:41,-15.82,-50.61,70.83,46,22,5.68
106,Pevek,RU,2020-08-25 06:31:42,69.7,170.31,37.89,97,100,4.12
107,Dillon,US,2020-08-25 06:31:42,34.42,-79.37,73.99,100,40,6.31
108,Kavaratti,IN,2020-08-25 06:31:42,10.57,72.64,84.2,70,20,5.82
109,Batemans Bay,AU,2020-08-25 06:31:42,-35.72,150.18,57.99,59,8,1.01
110,Mandiana,GN,2020-08-25 06:31:42,10.63,-8.68,70.32,95,97,5.03
111,Atambua,ID,2020-08-25 06:31:42,-9.11,124.89,82.71,40,0,5.86
112,Ust-Barguzin,RU,2020-08-25 06:31:42,53.45,108.98,61.34,72,79,2.77
113,Ulagan,RU,2020-08-25 06:31:42,50.63,87.96,66.02,59,98,1.52
114,Katsuura,JP,2020-08-25 06:31:43,35.13,140.3,88.0,61,0,5.01
115,Haines Junction,CA,2020-08-25 06:31:43,60.75,-137.51,44.89,84,36,4.59
116,Bemidji,US,2020-08-25 06:31:43,47.47,-94.88,59.0,93,1,4.0
117,Liverpool,GB,2020-08-25 06:28:13,53.41,-2.98,60.8,93,75,18.34
118,Dingle,PH,2020-08-25 06:31:43,11.0,122.67,87.58,73,9,10.04
119,Mar Del Plata,AR,2020-08-25 06:31:28,-38.0,-57.56,55.99,93,90,14.09
120,Sanandaj,IR,2020-08-25 06:30:54,35.31,46.99,71.6,30,0,11.41
121,Port Elizabeth,ZA,2020-08-25 06:27:07,-33.92,25.57,62.6,93,75,11.41
122,Sorland,NO,2020-08-25 06:31:44,67.67,12.69,51.8,76,40,20.8
123,Tommot,RU,2020-08-25 06:31:11,58.96,126.29,59.85,44,100,9.51
124,Guapi,CO,2020-08-25 06:31:44,2.57,-77.89,72.68,94,100,5.23
125,Nioro,GM,2020-08-25 06:31:44,13.35,-15.75,74.37,96,87,4.61
126,Upernavik,GL,2020-08-25 06:31:44,72.79,-56.15,42.69,86,100,5.3
127,Vao,NC,2020-08-25 06:31:44,-22.67,167.48,68.92,68,0,13.91
128,Chokurdakh,RU,2020-08-25 06:31:45,70.63,147.92,43.74,64,92,7.61
129,Hofn,IS,2020-08-25 06:31:45,64.25,-15.21,49.75,82,0,2.13
130,Almeirim,BR,2020-08-25 06:31:45,-1.52,-52.58,72.95,95,48,1.9
131,Half Moon Bay,US,2020-08-25 06:27:30,37.46,-122.43,64.4,100,90,8.05
132,Lata,PT,2020-08-25 06:31:45,40.16,-8.33,64.0,97,0,5.99
133,Sao Filipe,CV,2020-08-25 06:31:45,14.9,-24.5,77.41,80,2,0.47
134,Traverse City,US,2020-08-25 06:31:46,44.76,-85.62,73.4,73,40,3.36
135,Georgetown,MY,2020-08-25 06:31:46,5.41,100.34,91.4,66,20,10.29
136,Hirtshals,DK,2020-08-25 06:31:46,57.59,9.96,57.99,64,0,3.0
137,Kristiansund,NO,2020-08-25 06:31:46,63.11,7.73,48.2,81,75,39.15
138,Hohhot,CN,2020-08-25 06:31:46,40.81,111.65,78.8,57,3,8.95
139,College,US,2020-08-25 06:29:14,64.86,-147.8,57.2,87,75,3.29
140,Camacha,PT,2020-08-25 06:31:46,33.08,-16.33,71.6,78,75,12.75
141,Kahului,US,2020-08-25 06:27:07,20.89,-156.47,80.6,65,1,14.99
142,Port Blair,IN,2020-08-25 06:30:15,11.67,92.75,86.4,69,59,10.0
143,Morant Bay,JM,2020-08-25 06:31:47,17.88,-76.41,82.4,74,20,11.41
144,Lavrentiya,RU,2020-08-25 06:31:47,65.58,-171.0,46.29,93,73,2.39
145,Nikolskoye,RU,2020-08-25 06:31:47,59.7,30.79,61.0,77,3,11.18
146,Teya,RU,2020-08-25 06:31:47,60.38,92.63,58.93,84,100,2.89
147,Khatanga,RU,2020-08-25 06:31:47,71.97,102.5,69.78,45,22,5.77
