City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,San Patricio,MX,87.8,broken clouds,19.22,-104.7,Hotel Cabo Blanco
132,Avarua,CK,75.2,scattered clouds,-21.21,-159.78,Paradise Inn
135,Esna,EG,87.8,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
139,Faanui,PF,76.15,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Atlantic Beach,US,89.6,broken clouds,30.33,-81.4,One Ocean Resort & Spa
144,Samana,DO,89.6,few clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
146,Butterworth,MY,80.6,few clouds,5.4,100.36,Cititel Penang
153,Matay,EG,82.31,clear sky,28.42,30.78,Nag Aespen
161,Sao Desiderio,BR,82.24,clear sky,-12.36,-44.97,Pousada do Luizão
165,Hobyo,SO,76.95,overcast clouds,5.35,48.53,Osmani Hotel
167,Suchiapa,MX,87.8,scattered clouds,16.62,-93.08,GameZone UPChiapas
170,Muroto,JP,82.18,clear sky,33.28,134.15,Oota Ryokan
172,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
173,Hasaki,JP,77.0,fog,35.73,140.83,Inubosaki Kanko Hotel
174,Wanning,CN,79.93,overcast clouds,18.8,110.4,Paradise Hotel
177,Ribeira Grande,PT,77.0,broken clouds,38.52,-28.7,Quinta da Meia Eira
179,Sibolga,ID,76.01,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
181,Portland,US,79.0,clear sky,45.52,-122.68,Portland Marriott City Center
182,Itaituba,BR,80.6,few clouds,-4.28,-55.98,Hotel Campos
187,Cabo San Lucas,MX,84.2,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
191,Turi,IT,82.0,clear sky,40.92,17.02,Dimora Rossi
194,Ajaccio,FR,75.2,clear sky,42.0,8.92,Sole E Monte
195,Meulaboh,ID,75.99,moderate rain,4.14,96.13,Kost Pria
205,Victoria,HK,82.0,overcast clouds,22.29,114.16,Mini Hotel Central
207,Vila Do Maio,CV,82.4,broken clouds,15.13,-23.22,Residence 'I Delfini'
210,San Pedro,PH,84.2,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
216,Ituiutaba,BR,83.77,clear sky,-18.97,-49.47,Bernal Hotel
220,Fereydun Kenar,IR,75.2,broken clouds,36.69,52.52,Khezer Shahr Tourist Hotel
223,Samarai,PG,78.21,overcast clouds,-10.62,150.67,Nuli Sapi
224,Puerto Princesa,PH,79.18,clear sky,9.74,118.74,Deep Forest Garden Inn
226,Vanimo,PG,79.56,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
233,Alexandria,EG,80.6,scattered clouds,31.22,29.96,Royal Crown Hotel
234,Guerrero Negro,MX,88.83,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
235,Davila,PH,81.91,overcast clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
