City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Barrow,US,71.29,-156.79,37.4,74,90,14.99,overcast clouds
159,Clyde River,CA,70.47,-68.59,51.8,62,20,12.75,few clouds
160,Bambous Virieux,MU,-20.34,57.76,71.6,78,20,5.82,few clouds
161,Sao Desiderio,BR,-12.36,-44.97,82.24,23,3,4.5,clear sky
162,Sorland,NO,67.67,12.69,44.6,93,75,4.7,shower rain
163,Vagur,FO,61.47,-6.81,50.43,74,99,12.3,overcast clouds
164,Sumbe,AO,-11.21,13.84,69.31,81,100,5.79,overcast clouds
165,Hobyo,SO,5.35,48.53,76.95,82,98,25.14,overcast clouds
166,Aklavik,CA,68.22,-135.01,51.8,62,40,6.93,scattered clouds
167,Suchiapa,MX,16.62,-93.08,87.8,55,40,3.36,scattered clouds
168,Torbay,CA,47.67,-52.73,64.99,55,90,24.16,overcast clouds
169,Jardim,BR,-21.48,-56.14,94.08,28,0,1.32,clear sky
170,Muroto,JP,33.28,134.15,82.18,76,0,7.31,clear sky
171,La Paz,BO,-16.5,-68.15,66.2,16,40,8.05,scattered clouds
172,Acapulco,MX,16.86,-99.89,86.0,70,40,12.75,scattered clouds
173,Hasaki,JP,35.73,140.83,77.0,94,20,2.24,fog
174,Wanning,CN,18.8,110.4,79.93,85,88,5.99,overcast clouds
175,Butajira,ET,8.12,38.37,58.21,76,48,1.23,light rain
176,Lundazi,ZM,-12.29,33.18,69.26,42,20,8.5,few clouds
177,Ribeira Grande,PT,38.52,-28.7,77.0,88,75,12.75,broken clouds
178,Umba,RU,66.69,34.34,48.92,78,36,5.95,scattered clouds
179,Sibolga,ID,1.74,98.78,76.01,83,87,3.18,overcast clouds
180,Kyzyl-Mazhalyk,RU,51.13,90.6,53.53,71,100,2.95,overcast clouds
181,Portland,US,45.52,-122.68,79.0,47,1,8.05,clear sky
182,Itaituba,BR,-4.28,-55.98,80.6,94,20,5.82,few clouds
183,Palatka,US,29.65,-81.64,91.99,69,100,6.29,overcast clouds
184,Komsomolskiy,UZ,40.43,71.72,66.2,63,0,6.93,clear sky
185,Constitucion,CL,-35.33,-72.42,49.89,91,100,13.11,overcast clouds
186,Kongwa,TZ,-6.2,36.42,63.5,71,73,5.19,broken clouds
187,Cabo San Lucas,MX,22.89,-109.91,84.2,88,90,6.93,overcast clouds
188,Andenes,NO,69.31,16.12,48.2,76,75,9.17,broken clouds
189,Ola,RU,59.58,151.28,48.11,66,83,11.59,broken clouds
190,Hearst,CA,49.68,-83.67,70.23,52,100,5.75,overcast clouds
191,Turi,IT,40.92,17.02,82.0,94,5,10.29,clear sky
192,Whitehorse,CA,60.72,-135.05,48.0,93,90,5.82,light rain
193,Camapua,BR,-19.53,-54.04,92.71,10,0,6.46,clear sky
194,Ajaccio,FR,42.0,8.92,75.2,78,0,5.82,clear sky
195,Meulaboh,ID,4.14,96.13,75.99,88,99,4.59,moderate rain
196,Nikolskoye,RU,59.7,30.79,57.2,87,75,6.71,broken clouds
197,Tuktoyaktuk,CA,69.45,-133.04,48.2,70,20,11.41,few clouds
198,Merauke,ID,-8.47,140.33,77.36,80,100,16.84,overcast clouds
199,Catalina,US,32.51,-110.92,105.01,18,7,1.99,clear sky
200,Kabompo,ZM,-13.59,24.2,71.08,53,55,3.6,broken clouds
201,Chuy,UY,-33.7,-53.46,59.0,95,49,5.28,scattered clouds
202,Tromso,NO,69.65,18.96,46.4,87,75,12.75,light intensity shower rain
203,Iqaluit,CA,63.75,-68.51,53.6,54,75,4.7,broken clouds
204,Enterprise,US,36.03,-115.24,105.01,8,40,10.29,scattered clouds
205,Victoria,HK,22.29,114.16,82.0,74,97,4.0,overcast clouds
206,Fortuna,US,40.6,-124.16,70.0,72,1,13.87,clear sky
207,Vila Do Maio,CV,15.13,-23.22,82.4,78,75,2.24,broken clouds
